BARCODE,LABEL,ARRAY_RESULT,PCB NO,STEP_RESULT,MODEL,START TIME,END TIME,NO,NAME,NAME_DETAIL,VOLT(V),MIN_1,TYP_1,MAX_2,MEAS_1,MIN_2,TYP_2,MAX_2,MEAS_2,CAN_STD,MEAS_CAN,DTC CODE,MEAS_DTC CODE,STEP TIME,CAN:TX-1,CAN:RX-1,CAN:TX-2,DATA:RX-2
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,1,LAM 매칭 저항 확인,LAM Resistance,0,12500,13000,13500,12753.70,-,-,-,-,-,-,-,-,,,,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,2,Session control,Com Open,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.153,760 | 02 10 03 00 00 00 00 00 | ,768 | 06 50 03 00 32 01 F4 AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,3,,Security Access,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.980,760 | 02 27 11 00 00 00 00 00 | 30 00 14 00 00 00 00 00 | ,768 | 10 0A 67 11 5B 53 22 C2 | 21 7D 65 A0 36 AA AA AA | ,760 | 10 0A 27 12 95 05 E4 8C | 21 1C AE F5 86 00 00 00 | ,768 | 02 67 12 AA AA AA AA AA | 
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,4,,HSM Configuration Lock State,13.5,-,-,-,-,-,-,-,-,1,ENABLE : 0,-,-,00.00.594,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,5,,Secure Debug State_MCU,13.5,-,-,-,-,-,-,-,-,1,ENABLE : 0,-,-,00.00.500,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,6,,Secure Boot State_MCU,13.5,-,-,-,-,-,-,-,-,-,NOT EOL IMPLEMENTED,-,-,00.00.521,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,7,,Debug Port State_MCU,13.5,-,-,-,-,-,-,-,-,-,NOT EOL IMPLEMENTED,-,-,00.00.498,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,SKIP,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,8,POWER RESET,,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.528,,,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,9,SESSION,Com Open,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.397,760 | 02 10 03 00 00 00 00 00 | ,768 | 06 50 03 00 32 01 F4 AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,10,,Security Access,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.155,760 | 02 27 11 00 00 00 00 00 | 30 00 14 00 00 00 00 00 | ,768 | 10 0A 67 11 68 E8 58 62 | 21 38 BA 03 D4 AA AA AA | ,760 | 10 0A 27 12 DB EE 24 04 | 21 8F 1A 8A 94 00 00 00 | ,768 | 02 67 12 AA AA AA AA AA | 
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,11,메모리 이중화 검사,Swap Active Area,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.995,760 | 07 31 01 02 13 0A F1 B1 | ,768 | 03 7F 31 10 AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,SKIP,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,12,,POWER RESET,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.811,,,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,13,,Com Open,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.416,760 | 02 10 03 00 00 00 00 00 | ,768 | 06 50 03 00 32 01 F4 AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,14,,Security Access,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.159,760 | 02 27 11 00 00 00 00 00 | 30 00 14 00 00 00 00 00 | ,768 | 10 0A 67 11 02 51 BD 58 | 21 51 35 42 9E AA AA AA | ,760 | 10 0A 27 12 88 06 CF 6D | 21 93 DB EF DC 00 00 00 | ,768 | 02 67 12 AA AA AA AA AA | 
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,15,현재 메모리 영역 확인,Read Active Area,13.5,-,-,-,-,-,-,-,-,A,0A,-,-,00.00.578,760 | 06 31 01 02 10 F1 B1 00 | ,768 | 05 71 01 02 10 0A AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,16,,Vehicle Part Number,13.5,-,-,-,-,-,-,-,-,39 32 31 30 31 52 36 30 30 30,39 32 31 30 31 52 36 30 30 30,-,-,00.00.513,760 | 10 0D 2E F1 87 39 32 31 | 21 30 31 52 36 30 30 30 | ,768 | 03 6E F1 87 AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,17,파라메타 입력_CL/NON DWL/CTR,Vehicle Coding Information,13.5,-,-,-,-,-,-,-,-,00 00 00 13 01 00 01 00,00 00 00 13 01 00 01 00,-,-,00.00.562,760 | 10 0B 2E C0 DE 00 00 00 | 21 13 01 00 01 00 00 00 | ,768 | 03 6E C0 DE AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,18,,Serial Number,13.5,-,-,-,-,-,-,-,-,0000202603216005,0000202603216005,-,-,00.01.894,760 | 10 13 2E F1 8C 30 30 30 | 21 30 32 30 32 36 30 33 | 22 32 31 36 30 30 35 00 | ,768 | 03 6E F1 8C AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,19,,Manufacturing Date,13.5,-,-,-,-,-,-,-,-,20 26 03 21,20 26 03 21,-,-,00.00.624,760 | 07 2E F1 8B 20 26 03 21 | ,768 | 03 6E F1 8B AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,20,,Hard Reset,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.502,760 | 02 11 01 00 00 00 00 00 | ,768 | 02 51 01 AA AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,21,DTC 삭제,Clear DTC,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.500,760 | 04 14 FF FF FF 00 00 00 | ,768 | 01 54 AA AA AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,22,DTC 확인,Read DTC,13.5,-,-,-,-,-,-,-,-,0,0,-,-,00.02.763,760 | 03 19 02 09 00 00 00 00 | ,768 | 03 59 02 09 AA AA AA AA | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,23,제어기 사양검사,SW Version for HKMC,13.5,-,-,-,-,-,-,-,-,1.3,1.30,-,-,00.00.521,760 | 03 22 F1 A0 00 00 00 00 | ,768 | 07 62 F1 A0 31 2E 33 30 | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,24,,Hardware Version,13.5,-,-,-,-,-,-,-,-,1,1.00,-,-,00.00.500,760 | 03 22 F1 93 00 00 00 00 | ,768 | 07 62 F1 93 31 2E 30 30 | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,25,,HWVersion Voltage,13.5,2.89,2.945,3,   2.94,-,-,-,-,-,-,-,-,00.00.511,760 | 03 22 01 A0 00 00 00 00 | 30 00 00 00 00 00 00 00 | ,768 | 10 37 62 01 A0 FF FF FF | 21 FF 01 9F 00 00 00 00 | 22 01 A2 00 00 00 00 01 | 23 9F 00 00 00 00 01 F3 | 24 01 F2 01 F3 01 C6 01 | 25 26 27 10 00 00 00 00 | 26 27 10 00 00 08 98 00 | 27 00 00 00 00 00 01 95 | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,26,,Vehicle Part Number,13.5,-,-,-,-,-,-,-,-,92101R6000,92101R6000,-,-,00.00.575,760 | 03 22 F1 87 00 00 00 00 | 30 00 00 00 00 00 00 00 | ,768 | 10 0D 62 F1 87 39 32 31 | 21 30 31 52 36 30 30 30 | ,,
001163140007100000021,R692181010260321MX5MX5ALH100130S16005,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:04:27,2026-03-21 11:06:51,27,,Parameter Version,13.5,-,-,-,-,-,-,-,-,1,01,-,-,00.00.545,760 | 03 22 F1 02 00 00 00 00 | ,768 | 04 62 F1 02 01 AA AA AA | ,,
