BARCODE,DEVICE,RESULT,MODEL,DATE,TIME,TYPE,VOLT INPUT(V),VOLT VALUE(V),CURR RESULT,CURR MIN(mA),CURR MAX(mA),CURR VALUE(mA),LED RESULT,LED NAME,SCORE MIN,SCORE MAX,SCORE VALUE,SCORE RESULT,HUE MIN,HUE MAX,HUE VALUE,HUE RESULT,SAT MIN,SAT MAX,SAT VALUE,SAT RESULT,LUM MIN,LUM MAX,LUM VALUE,LUM RESULT
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,1,898,1496,1119,OK,1294,2156,1707,OK,5006,8344,6675,OK,1013,1689,1287,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,2,900,1500,1125,OK,1160,1933,1487,OK,4884,8140,6512,OK,1041,1735,1306,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,3,926,1543,1151,OK,1182,1970,1600,OK,4884,8140,6512,OK,1043,1738,1316,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,4,894,1490,1094,OK,1364,2274,1838,OK,4884,8140,6512,OK,1031,1718,1234,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,5,914,1524,1116,OK,1263,2105,1711,OK,4884,8140,6512,OK,1060,1766,1281,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,LOW VISION 비젼,13.5,-,-,0,0,0,OK,6,932,1554,1131,OK,1214,2023,1611,OK,4884,8140,6512,OK,1059,1765,1275,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB UPR VISION 비젼,13.5,-,-,0,0,0,OK,1,270,450,303,OK,1096,1826,1414,OK,3402,5670,4536,OK,313,521,357,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB UPR VISION 비젼,13.5,-,-,0,0,0,OK,2,278,463,309,OK,997,1661,1383,OK,3402,5670,4536,OK,315,525,367,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB UPR VISION 비젼,13.5,-,-,0,0,0,OK,3,284,473,325,OK,1130,1884,1506,OK,3402,5670,4536,OK,324,540,361,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,1,379,631,495,OK,1085,1809,1420,OK,3674,6124,4899,OK,458,764,591,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,2,392,654,515,OK,1003,1671,1345,OK,3570,5950,4760,OK,468,780,611,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,3,389,648,502,OK,903,1505,1224,OK,3570,5950,4760,OK,446,744,581,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,4,371,618,481,OK,940,1566,1298,OK,3570,5950,4760,OK,440,733,565,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,5,406,676,528,OK,960,1600,1315,OK,3570,5950,4760,OK,470,783,615,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,6,395,659,516,OK,1020,1700,1336,OK,3570,5950,4760,OK,473,789,614,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,7,367,611,470,OK,1045,1741,1340,OK,3570,5950,4760,OK,444,740,565,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,8,382,636,502,OK,980,1633,1269,OK,3570,5950,4760,OK,467,779,595,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,9,411,685,517,OK,881,1469,1215,OK,3570,5950,4760,OK,473,788,612,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,10,396,660,502,OK,872,1453,1189,OK,3570,5950,4760,OK,470,783,599,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,SUB LWR VISION 비젼,13.5,-,-,0,0,0,OK,11,402,670,526,OK,929,1548,1239,OK,3570,5950,4760,OK,470,783,601,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,1,676,1126,1032,OK,1109,1848,1496,OK,4539,7565,6052,OK,795,1325,1186,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,2,664,1106,1019,OK,1113,1855,1573,OK,4488,7480,5984,OK,794,1323,1176,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,3,515,858,844,OK,1099,1831,1483,OK,4488,7480,5984,OK,625,1041,991,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,4,533,889,871,OK,1037,1729,1468,OK,4488,7480,5984,OK,641,1068,1009,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,5,539,898,873,OK,1004,1673,1413,OK,4488,7480,5984,OK,639,1065,999,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,6,533,888,867,OK,945,1575,1247,OK,4488,7480,5984,OK,629,1049,992,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH1 VISION 비젼,13.5,-,-,0,0,0,OK,7,552,920,880,OK,978,1630,1411,OK,4488,7480,5984,OK,650,1083,1017,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH2 VISION 비젼,13.5,-,-,0,0,0,OK,1,569,949,760,OK,1601,2668,2245,OK,6375,10625,8500,OK,666,1110,892,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH2 VISION 비젼,13.5,-,-,0,0,0,OK,2,583,971,779,OK,1287,2145,1833,OK,6300,10500,8400,OK,697,1161,929,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH2 VISION 비젼,13.5,-,-,0,0,0,OK,3,944,1574,1258,OK,1354,2256,1846,OK,6300,10500,8400,OK,1106,1844,1480,OK
FH603-01000654,1,OK,RG3 PE STD LH,2025-09-09,10:21:31,HIGH2 VISION 비젼,13.5,-,-,0,0,0,OK,4,939,1565,1258,OK,1412,2354,1930,OK,6300,10500,8400,OK,1101,1835,1472,OK
