BARCODE,LABEL,ARRAY_RESULT,PCB NO,STEP_RESULT,MODEL,START TIME,END TIME,NO,NAME,NAME_DETAIL,VOLT(V),MIN_1,TYP_1,MAX_2,MEAS_1,MIN_2,TYP_2,MAX_2,MEAS_2,CAN_STD,MEAS_CAN,DTC CODE,MEAS_DTC CODE,STEP TIME,CAN:TX-1,CAN:RX-1,CAN:TX-2,DATA:RX-2
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,1,LAM 매칭 저항 확인,LAM Resistance,0,12500,13000,13500,12754,-,-,-,-,-,-,-,-,,,,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,2,Session control,Com Open,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.122,760 | 02 10 03 00 00 00 00 00 | ,768 | 06 50 03 00 32 01 F4 AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,3,,Security Access,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.02.012,760 | 02 27 11 00 00 00 00 00 | 30 00 14 00 00 00 00 00 | ,768 | 10 0A 67 11 49 EC D7 E5 | 21 13 47 7F FF AA AA AA | ,760 | 10 0A 27 12 89 F7 45 69 | 21 56 64 BF 50 00 00 00 | ,768 | 02 67 12 AA AA AA AA AA | 
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,4,,HSM Configuration Lock State,13.5,-,-,-,-,-,-,-,-,1,ENABLE : 0,-,-,00.00.626,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,5,,Secure Debug State_MCU,13.5,-,-,-,-,-,-,-,-,1,ENABLE : 0,-,-,00.00.500,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,6,,Secure Boot State_MCU,13.5,-,-,-,-,-,-,-,-,-,NOT EOL IMPLEMENTED,-,-,00.00.500,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,7,,Debug Port State_MCU,13.5,-,-,-,-,-,-,-,-,-,NOT EOL IMPLEMENTED,-,-,00.00.487,760 | 04 31 01 F0 03 00 00 00 | ,768 | 05 71 01 F0 03 01 AA AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,SKIP,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,8,POWER RESET,,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.533,,,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,9,SESSION,Com Open,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.00.395,760 | 02 10 03 00 00 00 00 00 | ,768 | 06 50 03 00 32 01 F4 AA | ,,
1.16314E+18,R692181010260321MX5MX5ALH100130S16006,PASS,1,PASS,MX5a ILCU_LH,2026-03-21 11:08,2026-03-21 11:10,10,,Security Access,13.5,-,-,-,-,-,-,-,-,-,-,-,-,00.01.153,760 | 02 27 11 00 00 00 00 00 | 30 00 14 00 00 00 00 00 | ,768 | 10 0A 67 11 F4 19 D7 A1 | 21 22 C6 55 7C AA AA AA | ,760 | 10 0A 27 12 B2 B4 B6 11 | 21 58 C1 1A 69 00 00 00 | ,768 | 02 67 12 AA AA AA AA AA | 
